Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.40,0.74,0.16761253561253558,0.25080455739872,,0.2792848008753788,0.09671855362982328,0.10792272104617302,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.2508 (0.7400, 0.1676)"
Task 3,4096,Vanilla AE (0.50 Masked),LogisticRegression,0.5166666666666667,0.1952380952380952,0.24666666666666667,0.5362887806637806,0.4579543888011362,0.12838390204326583,0.1515659005918621,0.08434963472933607,20240228214534:20240228215033:20240228215534:20240228220026:20240228220518,5,"0.2467 (0.5167, 0.1952)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.60,0.6777777777777778,0.12851282051282048,0.19547008835106716,,0.2976243385773083,0.09588400757128866,0.11579582484889404,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.1955 (0.6778, 0.1285)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.80,0.7166666666666667,0.1136980056980057,0.18229212878940643,,0.2608745973749755,0.09422330489221768,0.12229593405710111,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.1823 (0.7167, 0.1137)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.00,0.74,0.10629059829059825,0.17397190293742013,,0.25099800796022265,0.09591811644637965,0.13150250390647056,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.1740 (0.7400, 0.1063)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.20,0.64,0.09088319088319084,0.14674329501915706,,0.4159326868617084,0.10432175490685637,0.1469462298352501,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.1467 (0.6400, 0.0909)"
Task 3,4096,Vanilla AE (0.50 Masked),HBOS,0.2,0.1,0.13333333333333333,0.5245299145299145,0.4472135954999579,0.22360679774997896,0.2981423969999719,0.12764035144773123,20240228210804:20240228211008:20240228211212:20240228211410:20240228211611,5,"0.1333 (0.2000, 0.1000)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.40,0.525,0.060683760683760656,0.10069545059403069,,0.5031152949374527,0.07973136934341561,0.12240744723009579,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.1007 (0.5250, 0.0607)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.60,0.5142857142857142,0.045584045584045566,0.07705627705627704,,0.5010193690500052,0.0632901991211483,0.09910252996108661,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.0771 (0.5143, 0.0456)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.80,0.48,0.030199430199430184,0.05437788018433178,,0.5019960159204453,0.032018026432105516,0.0549286719008689,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.0544 (0.4800, 0.0302)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.40,0.5,0.02250712250712248,0.04285714285714284,,0.5,0.020554326479119926,0.03912303982179756,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.0429 (0.5000, 0.0225)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.00,0.45,0.02250712250712248,0.041904761904761875,,0.51234753829798,0.020554326479119926,0.03830300486131465,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.0419 (0.4500, 0.0225)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.20,0.45,0.02250712250712248,0.041904761904761875,,0.51234753829798,0.020554326479119926,0.03830300486131465,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.0419 (0.4500, 0.0225)"
